REG_NUMBER	COMPANY_NAME	SURNAME1	SURNAME2	CODE	SHORT_ES	LONG_ES	LONG_EN	TRADE_NAME	STREET_TYPE	STREET_NAME	STREET_NUMBER	STREET_OTHER	ZIP_CODE	TOWN	PROVINCE	PHONE	URL	COORDINATE_X	COORDINATE_Y	PRECISION	EMPLOYEES	ACTIVITY_CODE	ACTIVITY_DESCRIPTION	ACTIVITY_CODE_2	ACTIVITY_DESCRIPTION_2	ACTIVITY_CODE_3	ACTIVITY_DESCRIPTION_3	CORPORATE_PURPOSE	COD_CONFIRMED_STATUS	CONFIRMED_STATUS	CONFIRMED_STATUS_DATE	COD_TRADING_STATUS	TRADING_STATUS	TRADING_STATUS_DATE	COD_INSOLVENCY_PROCEEDINGS	INSOLVENCY_PROCEEDINGS	INSOLVENCY_PROCEEDING_DATE	INDIV_LATEST_FILED_ACCOUNTS	INDIV_LATEST_FILED_ACCOUNTS_YEAR	ACTIVITY_START_DATE	PARENT_COMPANY_REG_NUMBER	PARENT_COMPANY_NAME	PARENT_COMPANY_LEGAL_FORM	INDIC_INDIVID_BALANC_SHEET_AUDIT	INDIVIDUAL_BALANCE_SHEET_AUDITOR	OP_INDIVID_BALANC_SHEET_AUDIT
B38603957	HABITAT DE OBRAS Y CONSTRUCCIONES			32	SL	Sociedad Limitada	Limited Company	CONSTRUCCIONES HOCAN	CALLE	BREZAL	179	BARRIO DE LA CRUZ SANTA REALEJO ALTO	38410	REALEJOS (LOS)	SANTA CRUZ DE TENERIFE	922354438		-16.559216500	28.361650100	1		4101	Construction of residential buildings	4212	Construction of surface and subway railroad tracks			Planificacion, Promocion, Asesoramiento, Construccion Explotacion, Administracion, Arrendamiento, Compra Y Venta De Inmuebles. Parcelacion, Urbanizacion De Terrenos, Ejecucion De Encargos, Planos, Proyectos Y Obras De Urbanizaciones Y Edificaciones, Decoracion, Terminado, Conservacion Y Reparacion.	04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	06MAY2015							2024	11AUG2025	13-09-2000						
B38606356	MORINCO CANARIAS			32	SL	Sociedad Limitada	Limited Company		AVDA	SANTA CRUZ	42	1 F	38500	GUIMAR	SANTA CRUZ DE TENERIFE			-16.408153650	28.317952100	4		6812	Real estate development					La Compra O Venta, En Nombre Y Por Cuenta Propia, Asi Como La Urbanizacion, Parcelacion Y Actividades Conexas, De Terrenos, Con El Fin Todo Ello De Su Poster O Venta O Arrendamiento.										2024	21AUG2025	22-09-2000						
B38608162	PELITENE			32	SL	Sociedad Limitada	Limited Company		URB	PARQUE LA REINA	23	BLQ P APTO	38640	ARONA	SANTA CRUZ DE TENERIFE			-16.683240700	28.098669500	22		6210	Computer programming activities					La Prestacion De Servicios De Estudio Y Analisis De Procesos Para Su Tratamiento Mecanico. De Programacion Para Equipos Electronicos, De Registro De Datos En Soportes De Entrada Para Ordenadores. Asi Como La Venta De Programas.										2024	11AUG2025	14-09-2000						
B38610218	CONHARTE CONSTRUCCIONES DE CANARIAS			32	SL	Sociedad Limitada	Limited Company		CALLE	PADRE ANCHIETA	7	1º IZQUIERDA	38005	SANTA CRUZ DE TENERIFE	SANTA CRUZ DE TENERIFE	922229513		-16.254555000	28.463891100	1		4101	Construction of residential buildings					La Urbanizacion, Parcelacion O Roturacion De Fincas; La Construccion Y Ejecucion De Obras De Caracter Publico O Privado; .	02	We have confirmed that this firm is active, but it has not provided us with information.	15NOV2006							2007	01AUG2008	07-11-2000						
B38610523	JARDIN COSTA ISORA			32	SL	Sociedad Limitada	Limited Company		CALLE	MARTIN PLACERES	37	1º	38680	GUIA DE ISORA	SANTA CRUZ DE TENERIFE			-16.777941300	28.213127500	4		0161	Agricultural support activities					La Prestacion De Servicios De Estudio Y Analisis De Procesos Para Su Tratamiento Mecanico, De Programacion Para Equipos Electronicos, De Registro De Datos En Soportes De Entrada Para Ordenadores, Asi Como La Venta De Programas; El Proceso De Datos Por Cuenta De Terceros Y Otros Servicios.										2024	14AUG2025	25-10-2000						
B38611273	ALTAIR FAMILY OFFICE			32	SL	Sociedad Limitada	Limited Company		CALLE	TOME CANO	S/N	BAJO - EDIFICIO NIZA	38005	SANTA CRUZ DE TENERIFE	SANTA CRUZ DE TENERIFE			-16.261761500	28.459387100	7		8532	Secondary vocational education					Promocion Inmobiliaria, Adquisicion, Transmision, Arrendamiento, Explotacion Y Administracion De Fincas, Tanto Rusticas Como Urbanas, Construccion De Edificios Y Obras De Todo Tipo, Por Cuenta Propia O Por Cuenta Terceros, Parcelacion Y Urbanizacion De Terrenos De Cualquier Naturaleza. Explotacion. La Promocion Inmobiliaria, Adquisicion, Transmision, Arrendamiento, Explotacion Y Administracion De Fincas, Tanto Rusticas Como Urbanas, Construccion De Edificios Y Obras De Todo Tipo. I. La Intermediacion De Prestacion De Actividades Juridicas, Contabilidad, Teneduria De Libros, Auditoria, Asesoria Fiscal, Estudios De Mercado Y Realizacion De Encuestas De Opinion Publica; Consulta Y Asesoramiento Sobre Direccion Y Gestion Empresarial, Gestion De Sociedades De Cartera (Holdings). -Cnae: 6910										2024	24JUL2025	10-11-2000						
B38613030	PROMOCIONES CHAPATAL 2000			32	SL	Sociedad Limitada	Limited Company		CALLE	ESQUILON BJ	13	PTAL 3 BJ B EDF MA	38400	PUERTO DE LA CRUZ	SANTA CRUZ DE TENERIFE	922380771		-16.553044900	28.406526800	7		6812	Real estate development	6811	Sale and purchase of real estate for own account			Promocion De Edificaciones De Cualquier Clase, Administracion De Fincas Rusticas, Urbanas O Industriales Y Su Explotacion En Forma De Arriendo O Directa, Mediante Cualquier Modalidad Admitida En Derecho; La Compra Y Venta De Terrenos, Edificios, Pisos, Departamentos O Locales, La Construccion Por C.										2024	30JUL2025	21-11-2000						
B38613139	COLEGIO TACORONTE			32	SL	Sociedad Limitada	Limited Company		CALLE	TEOBALDO POWER	17		38350	TACORONTE	SANTA CRUZ DE TENERIFE	696175883	http://www.colegiotacoronte.com	-16.416129500	28.482305300	1	21	8531	General secondary education	4761	Retail trade of books	8510	Pre-primary education	La Prestacion De Servicios De Docencia, En Regimen Libre Y/O Concertado, Asi Como De Papeleria Y Libreria.	01	We have confirmed that this firm is active.	22DEC2016							2024	24DEC2025	17-11-2000						
B38615514	CAPRICOLOR ESTUDIO FOTOGRAFICO			32	SL	Sociedad Limitada	Limited Company		CALLE	CHUCHARERAS BAJAS	18		38370	MATANZA DE ACENTEJO (LA)	SANTA CRUZ DE TENERIFE	922578585		-16.450149850	28.452658400	5		1812	Other printing and graphic arts activities					Las Industrias De La Fotografia, Industrias De Material Y Equipo Electrico, Electronico Y Optico, Especialmente El Revelado De Fotografias, Elaboracion De Videos, Peliculas, Reportajes.	02	We have confirmed that this firm is active, but it has not provided us with information.	15NOV2006							2023	26AUG2024	15-12-2000						
B38615670	RECARGA R R			32	SL	Sociedad Limitada	Limited Company		CALLE	BALCON ATLANTICO APTO	5	29 A TORVISCAS	38660	ADEJE	SANTA CRUZ DE TENERIFE			-16.723750454	28.078108620	22		9699	Other personal services n.e.c.					La Compraventa, Transformacion, Comercializacion De Mercaderias Mobiliario, Menaje De Hosteleria, Muebles, Materiales Y Maquinaria, Herramientas Y Utensilios De Construccion. Realizacion De Actividades De Tipo Turistico; La Administracion, Y Actuacion Complementaria Para La Formacion De Comunidade.										2024	04AUG2025	18-12-2000						
B38615829	CLINICA VETERINARIA 3 DE MAYO			32	SL	Sociedad Limitada	Limited Company		CALLE	DOCTOR GONZALEZ	32	PLT BJ REALEJO ALTO	38410	REALEJOS (LOS)	SANTA CRUZ DE TENERIFE	922341579		-16.584769700	28.378572600	1		7500	Veterinary activities					Prestacion De Los Servicios De Clinica Veterinaria. Compra Y Venta De Medicamentos Y Productos Relacionados Con El Cuidado De Toda Clase De Animales.	01	We have confirmed that this firm is active.	20JUN2018							2024	11AUG2025	12-12-2000						
B38621199	JACIO INVERSIONES			32	SL	Sociedad Limitada	Limited Company		CALLE	MENDEZ NUÑEZ	42	3 A	38002	SANTA CRUZ DE TENERIFE	SANTA CRUZ DE TENERIFE	922275427		-16.253450200	28.470439200	1		6812	Real estate development					La Constnuccion, Instalacion, Gestion Y Explotacion De Puertos Deportivos E Instalaciones Anexas Al Comercio De Orden Turistico, Explotacion De Vehiculos Y Maquinaria Agricola O Industrial, La Urbanizacion De Terrenos, Explotacion Y Urbanizacion De Los Mismos; Fabricacion De Articulos De Carpinter.										2024	11AUG2025	18-01-2001						
B38623971	TINERBAR			32	SL	Sociedad Limitada	Limited Company		CTRA	GRAL ROSARIO	S/N	KM 6 18 1 TACO	38108	SAN CRISTOBAL DE LA LAGUNA	SANTA CRUZ DE TENERIFE	922218953		-16.305709880	28.453967380	22	3	5630	Beverage services	6820	Renting of real estate for own account			La Explotacion Comercial De Restaurantes, Cafeterias, Bares, Tascas, Pubs, Salon Es Recreativos Y De Juegos; Discotecas; Panaderias, Dulcenas O Confiterias, Establecimientos De Alimentacion Y Vinotecas; Librerias.	01	We have confirmed that this firm is active.	07NOV2018							2024	14AUG2025	06-02-2001						
B38628418	CONSTRUCCIONES TEOFILO GOYA			32	SL	Sociedad Limitada	Limited Company		CALLE	RAVELO REAL OROTAVA	209		38300	OROTAVA (LA)	SANTA CRUZ DE TENERIFE	637819482		-16.511834326	28.390587842	21	6	4101	Construction of residential buildings	4101	Construction of residential buildings	4399	Other specialized construction activities n.e.c.	A) La Promocion Ordenacion Urbanizacion Y Parcelacion De Terrenos Propios O Ajenos Mediante La Realizacion De La Actuaciones Urbanisticas Oportunas. Asi Como De Las Obras. Construcciones. Instalaciones. Servicios.	04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	18MAR2026							2024	11AUG2025	16-03-2001						
B38628459	JOMARED CANARIAS			32	SL	Sociedad Limitada	Limited Company		RBLA	LOS MENCEYES	22		38530	CANDELARIA	SANTA CRUZ DE TENERIFE			-16.363380900	28.370151700	4		3511	Electricity production from non-renewable sources					Servicios De Telecomunicacion, Servicios Telefonicos En Domicilios Particulares, Para Uso Publico, Especiales Asi Como Otros Servicios De Telecomunicacion, Teletransmision De Datos, Servicios De Telecomunicacion Por Medio De Satelites Artificiales, Instalacion Y Reparacion De Aparatos Electricos, D.										2024	04AUG2025	27-03-2001						
B38629531	INVERSIONES LA ANTORCHA			32	SL	Sociedad Limitada	Limited Company		CALLE	REAL	20		38800	SAN SEBASTIAN DE LA GOMERA	SANTA CRUZ DE TENERIFE	649498027		-17.110991000	28.092002000	12		5611	Restaurants	5630	Beverage services			Promocion. Urbanizacion, Ejecucion De Obras Compra Y Venta. Arrendamiento O Enajenacion Por Cualquier Titulo De Fincas Rustica O Urbana, Hoteles. Edificio. La Construccion En El Mas Amplio Sentido De La Actividad Etc.	01	We have confirmed that this firm is active.	02OCT2018							2024	18AUG2025	16-03-2001						
B38630349	INVERSIONES LA ALHONDIGA			32	SL	Sociedad Limitada	Limited Company		PLAZA	SAN SEBASTIAN	3	1 D	38480	BUENAVISTA DEL NORTE	SANTA CRUZ DE TENERIFE	922127405		-16.850144200	28.370422400	4	1	6820	Renting of real estate for own account	4101	Construction of residential buildings			1.	02	We have confirmed that this firm is active, but it has not provided us with information.	01JUL2007							2024	24JUL2025	16-01-2001						
B38630836	QUEMOR CANARIAS			32	SL	Sociedad Limitada	Limited Company		CALLE	MARQUES DE MONDEJAR	29	31 , PLANTA PRIMERA, OFI	28028	MADRID	MADRID	915780094		-3.664634900	40.428234300	1		6820	Renting of real estate for own account					Importacion, Exportacion, Representacion, De Tejidos, Confecciones, Textiles Para El Hogar, Prendas Exteriores De Vestir, Eamiseria, Lenceria; Comercializacion De Loza Para El Hogar, Cristaleria, Perfumeria, Cosmetica, Juguetes, Menaje Del Hogar; Compraventa De Calzados, Comercializacion, Actividade. K) La Cesion En Arrendamiento (No Financiero) De Toda Clase De Bienes Inmuebles.										2024	17APR2026	10-04-2001						
B38631123	CARPINTERIA LAS CANTERAS			32	SL	Sociedad Limitada	Limited Company		CALLE	LA COSTA	9	BARRIO SAN BERNARDO	38479	SILOS (LOS)	SANTA CRUZ DE TENERIFE	922840578		-16.829600550	28.367101950	5		1623	Manufacture of other structures of wood and joinery, except those for industrialized construction	4752	Retail trade of hardware, construction materials, paints and glass	1628	Manufacture of other products of wood, articles of cork, basketware, wickerwork and plaiting materials	La Fabricacion, Instalacion Y Venta De Puertas, Ventanas, Cercos, Marcos, Estructuras Prelabricadas Y Piezas De Madera Destinadas A Construccion, Piosos De Madera Parquet, Entarimados, Moldulerias, Persianas Y Manparas, Asi Como Objeto De Madera De Uso Domestico Y Decorative.	01	We have confirmed that this firm is active.	24APR2014							2024	11AUG2025	23-03-2001						
B38634689	JOALED CANARIAS			32	SL	Sociedad Limitada	Limited Company		AVDA	PALMERAS	32	BJ PLAYA DE LAS AMERICAS	38640	ARONA	SANTA CRUZ DE TENERIFE	922750188		-16.683240701	28.098669460	22		5520	Tourist and other short-stay accommodations					Prestacion De Servicios De Estudio Y Analisis De Procesos Para Su Tratamiento Mecanico De Programacion Para Equipos Electronicos; Compraventa Enajenacion De Inmuebles, Parcelacion De Terrenos, Urbanizacion, Explotacion De Mercadillos, Servicios De Autotaxis, Actividades Turisticas.										2024	22JUL2025	28-03-2001						
B38636866	TENER AGRO			32	SL	Sociedad Limitada	Limited Company		CALLE	TRAS ESTACION DE SERVICIO SHELL	7	BARRIO	38670	ADEJE	SANTA CRUZ DE TENERIFE	922780003		-16.731508557	28.117800020	22		4712	Other non-specialized retail trade	4621	Wholesale trade of cereals, raw tobacco, seeds and animal feedstuffs			La Promocion, Construccion. Transformacion, Reparacion Y Venta De Toda Clase De Edificios Y Viviendas, Tanto De Proteccion Oficial Como Libres.										2024	04AUG2025	31-05-2001						
B38637682	TAFIFE			32	SL	Sociedad Limitada	Limited Company		CALLE	CORTADO	10		38613	VILAFLOR	SANTA CRUZ DE TENERIFE	679445352		-16.632746000	28.150568400	1	1	4617	Activities of wholesale trade intermediaries of food, beverages and tobacco products					Transporte De Mercancias Por Carretera Compraventa De Bebidas Y Alimentos. Promocion Inmobiliaria Compraventa Y Alquiler De Apartamentos.										2024	21AUG2025	06-06-2001						
B38638151	T & R INVERSIONES			32	SL	Sociedad Limitada	Limited Company		CALLE	PIEDRA REDONDA EDF SAN BORONDON	52		38670	ADEJE	SANTA CRUZ DE TENERIFE			-16.730877250	28.121978750	4		6811	Sale and purchase of real estate for own account					Asesoramiento De Empresas Juridicas Y Fiscal, Promocion Inmobiliaria, Servicios Relativos A La Propiedad Inmobiliaria Y A La Propiedad Industrial.										2007	01AUG2008	28-05-2001						
B38638623	TOPOCANA			32	SL	Sociedad Limitada	Limited Company		CALLE	MENCEY ACAYMO	21	2º	38008	SANTA CRUZ DE TENERIFE	SANTA CRUZ DE TENERIFE	922272956		-16.272477600	28.469835800	1		7111	Architectural technical services					Articulo 2..- La Sociedad Tiene Por Objeto: A.- La Creacion De Diseños Graficos Por Ordenador, Infografia, Y Su Posterior Difusion En Cualquier Medio. B.- La Actividad Publicitaria De, Todo, Genero Y Publicidad Exterior, Ya Sea En Medios Escritos, Radio, Television, Cine, Y Nuevas Tecnologias, Como.	02	We have confirmed that this firm is active, but it has not provided us with information.	01JUL2007							2024	11AUG2025	12-06-2001						
B38644563	JONATHAN SURF			32	SL	Sociedad Limitada	Limited Company		CALLE	HERRADOR	16	3 IZQD PUERTO SANTIAGO	38690	SANTIAGO DEL TEIDE	SANTA CRUZ DE TENERIFE			-16.840795500	28.238337600	1		9319	Sporting activities n.e.c.					La Representacion Y Promocion De Deportistas Y Artistas Mediante La Produccion Y Realizacion De Espectaculos De Cualquier Clase Relacionados Con Sus Actividades. La Explotacion De Sus Derechos De Imagen. Asi Como Diseñar. Realizar Y Comercializar Todos Aquellos Articulos Relacionados.										2024	04AUG2025	17-07-2001						
B38647079	ADMINISTRACION DE INVERSIONES PARAISO NORTE			32	SL	Sociedad Limitada	Limited Company		CALLE	JARDIN SOL	94		38350	TACORONTE	SANTA CRUZ DE TENERIFE	922385352		-16.422740800	28.489959800	1		6812	Real estate development					La Adquisicion. Enajenacion, Construccion, Gravamen O Arriendo De Fincas Urbanas. La Construccion De Edificios De Cualquier Tipo, Urbanizaciones, Complejos Tubsticos O Residenciales, Galedas Comerciales, Todo Ello Sobre Terrenos Propios O Ajenos, Tanto Para Su Venta Como Para Su Alquiler.	04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	18JAN2016							2023	16AUG2024	23-08-2001						
B38648341	DESEVA PATRIMONIAL			32	SL	Sociedad Limitada	Limited Company		AVDA	LITORAL	S/N	PARQUE SANTIAGO III PLAYA DE LAS	38640	ARONA	SANTA CRUZ DE TENERIFE			-16.657922050	28.012009700	21		6820	Renting of real estate for own account					La Prestacion De Servicios De Estudio Y Analisis De Procesos Para Su Tratamiento Mecanico, De Programamcion Para Equipos Electronicos, De Registro De Datos En Soportes De Entrada Para Ordenadores.										2023	26AUG2024	28-05-2001						
B38648432	DEEP BLUE MEDIA			32	SL	Sociedad Limitada	Limited Company		LUGAR	PLAYA DE LAS AMENCAS VICTOR ZUNTA SOLER	S/N		38640	ARONA	SANTA CRUZ DE TENERIFE	922721766		-16.683240701	28.098669460	22		4649	Wholesale trade of other household articles					1) El Comercio Al Por Mayor Y Menor De Tabaco, Articulos Para Fumadores, Libros, Periodicos, Revistas Y Articulos De Papeleria.	02	We have confirmed that this firm is active, but it has not provided us with information.	01JUL2007							2018	13JAN2020	24-08-2001						
B38649968	EL MESON DE CLEMENTE			33	SLL	Sociedad Limitada Laboral	Labour Limited Company		CALLE	CRUCES	S/N		38812	ALAJERO	SANTA CRUZ DE TENERIFE	922895721		-17.249269003	28.032906460	21		5611	Restaurants					Explotacion Comercial De Restarurantes, Bares, Cafeterias, Pubs, Salones Recreativos De Juegos, Discotecas, Etc.	02	We have confirmed that this firm is active, but it has not provided us with information.	20DEC2010							2024	12SEP2025	13-09-2001						
B38651469	INVRODAR			32	SL	Sociedad Limitada	Limited Company		CALLE	EL LIRIAZO	2	3P	38800	SAN SEBASTIAN DE LA GOMERA	SANTA CRUZ DE TENERIFE			-17.103880900	28.092870400	14		6622	Activities of insurance agents and brokers					Promocion, Ordenacion Urbanizacion De Terrenos, Compra. Venta Explotacion De Terrenos, La Construccion En El Mas Amplio Sentido De La Actividad, Etc. Mediacion De Seguros Por Agencia; Agencia De Seguros ; Servicios Relativosa La Propiedad Inmobiliaria, Servicios Contables Y Financieros.										2024	18AUG2025	03-10-2001						
B38651550	CAMPOS DE ARDA			33	SLL	Sociedad Limitada Laboral	Labour Limited Company	LA RECETA DE ARDA	CALLE	MENDEZ NUÑEZ	42	PLT 3 PTA A	38002	SANTA CRUZ DE TENERIFE	SANTA CRUZ DE TENERIFE	922276104	https://www.larecetadearda.com/	-16.253450200	28.470439200	1		1085	Preparation of prepared meals and dishes	5622	Regular catering and other food services	5530	Campgrounds and caravan parks	La Sociedad Tiene Por Objeto: 1. - Como Actividad Principal: - La Construccion, Instalacion, Gestion Y Explotacion De Puertos Deportivos E Instalaciones Anexas, Promovidas Y Construidas Por La Sociedad, En Union De Otras Entidades Ya Sea En Regimen De Concesion O Autorizacion Adquirida (Cnae 5222).	04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	13NOV2025							2011	27AUG2012	25-09-2001						
B38651766	FLICK TENERIFE 2			32	SL	Sociedad Limitada	Limited Company	GRUPO FLICK	LUGAR	CERCADO CHICO CRUCE DE TACO	1		38108	SAN CRISTOBAL DE LA LAGUNA	SANTA CRUZ DE TENERIFE	902129999	http://www.grupoflick.com	-16.300430000	28.458709000	15		9531	Repair and maintenance of motor vehicles	4672	Wholesale trade of motor vehicle parts and accessories	4672	Wholesale trade of motor vehicle parts and accessories	La Importacion, Exportacion Y Distribucion De Maquinaria, Automoviles, Vehiculos De Uso Industrial, Comercial O Agricola, Y Todos Sus Repuestos Y Accesorios, Maquinaria Y Accesorios Para El Riego Maquinaria Y Material Auxiliar Para La Industria Tabaquera, Equipos Y Sisten; As Informaticos.	01	We have confirmed that this firm is active.	03APR2013							2023	29JAN2025	07-11-2001						
B38653150	INVESCAPITAL GESTION FINANCIERA			32	SL	Sociedad Limitada	Limited Company		CALLE	MEDAÑO PASEO ATLANTICO	14	3 B EDIFI	38600	GRANADILLA DE ABONA	SANTA CRUZ DE TENERIFE			-16.578854967	28.123316584	22		6832	Other real estate activities on behalf of third parties					La Administracion, Gestion, Representacion Y Organ Izacion De Em Presas. La Compra, Venta De Solares E In Muebles En General; La Adqui Sicion De Valores Mobiliarios  -Cnae: 6832										2024	22JUL2025	28-09-2001						
B38653168	INVERSIONES MAYORICA			32	SL	Sociedad Limitada	Limited Company		CALLE	RAMON Y CAJAL	4	EDF SIENA PTAL 1	38003	SANTA CRUZ DE TENERIFE	SANTA CRUZ DE TENERIFE	922283456		-16.255429600	28.466076100	1		6820	Renting of real estate for own account					La Planifcacion. Promocion, Asesoramiento, Construccion, Explotacion, Administ(Acion, Arrendamiento, Intervencion Y Mediacion, Compra Y Venta De Toda Clase De Edircaciones, Apartamentos. Viviendas, Locales. Ampliar El Objeto Social Con La Finalidad De Que La Sociedad, Ademas, Pueda Dedicarse A: La Industria, Fabricacion, Produccion Y Comercio Y, Por Tanto, La Com Pra Y Venta, Exportacion E Importacion, De Abonos De Todas Clases, Insecticidas, Fertilizantes, Azufres, Anticriptogamicos Y En Definitiva, De.	04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	17MAR2020							2023	09DEC2025	17-10-2001						
B38653887	DOMUS WIBI			32	SL	Sociedad Limitada	Limited Company		CALLE	ATALISCA	15	1º D - PLAYA DE SAN MARCOS 38430	38430	ICOD DE LOS VINOS	SANTA CRUZ DE TENERIFE			-16.723521900	28.378797100	3		4102	Construction of non-residential buildings					La Construccion. Adquisicion, Explotacion, Arrendamiento De Toda Clase De Inmuebles Incluidos Edificios, Ya Se Destinen A Actividades Industriales, Comerciales Agricolas O Viviendas Y Esten O No Acogidas A Proteccion Of Cial, En Cualquiera De Sus Categomas.   Ampliar El Objeto Social De La Entidad, Añadiendo Las Siguientes Actividades Complementarias: - Actividades De Programacion Informatica. -Servicios De Seguridad (Informatica). -Relaciones Publicas Y Comunicacion. -Actividades De Grabacion De Sonido. -Actividades De Exhibicion Cinematografica. -Servic.										2024	15JAN2026	05-10-2001						
B38654430	CONSTRUCCIONES PRIHERN			32	SL	Sociedad Limitada	Limited Company		CALLE	VIÑA VIEJA	2		38380	VICTORIA DE ACENTEJO (LA)	SANTA CRUZ DE TENERIFE	922580241		-16.466461800	28.433996900	1	1	4101	Construction of residential buildings					La Realizadad De Estructuras De Encoprados. Asi Como Las Actividades De Construccion De Toda Clase De Obras Y Edificaciones, Bien Por Cuenta Propia O Ajena. Produccion, Comercializacion Y Distribucion De Electricidad; Produccion, Comercializacion Y Distribucion De Electricidad De Origen Renovable, Tal Como Eolica, Maremotriz, Solar, Solar Fotovoltaica, De Olas Del Mar, Cogeneracion Y De Cualquier Otro Origen; Produccion, Comercializacion Y Distribucion.	04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	17DEC2021							2024	11AUG2025	28-09-2001						
B38654554	PARAPRO CANARIAS			32	SL	Sociedad Limitada	Limited Company		CALLE	DOCTOR SPREAFICO	4	URBANIZACION LA ESTRELLA D	38640	ARONA	SANTA CRUZ DE TENERIFE	922717186		-16.665435100	28.019179700	1		4777	Retail trade of watch and jewelry articles	6831	Brokerage services for real estate activities			A) La Prestacion De Servicios De Estudio Y Analisis De Procesos Para Su Tratamiento Mecanico, De Programacion Para Equipos Electronicos, De Registro De Datos En Soportes De Entrada Para Ordenadores, Asi Como La Venta De Programas.	02	We have confirmed that this firm is active, but it has not provided us with information.	01JUL2007							2023	09AUG2024	25-10-2001						
B38655528	PLANEMONTE TENERIFE			32	SL	Sociedad Limitada	Limited Company		CALLE	PEDRO SUAREZ HERNANDEZ	12		38009	SANTA CRUZ DE TENERIFE	SANTA CRUZ DE TENERIFE			-16.279311000	28.460012400	4		6812	Real estate development					La Compra, Venta. Adquisicion. Enajecion, Construccion. Promocion, Arrendamiento Y Explotacion, Por Cualquier Titulo. De Todo Tipo De Bienes Muebles Y Tambien Inmuebles Tales Como Fincas Rusticas O Urbanas. Asi Como Hoteles, Edificios, Chalet, Bungalows, Apartamentos, Locales.										2024	13AUG2025	29-10-2001						
B38655635	JORALMA CANARIAS			32	SL	Sociedad Limitada	Limited Company		CALLE	SAN SEBASTIAN	4	A 7	38430	ICOD DE LOS VINOS	SANTA CRUZ DE TENERIFE	922831110		-16.720800100	28.366724300	1		8621	General practice, family and community medicine activities	8621	General practice, family and community medicine activities			1. La Prestacion De Asistencia Medica, Tanto En Medicine General Como En Sus Especialidades Y, Por Tanto, Neurologia, Tocologia, Otorrinolaringologia.	02	We have confirmed that this firm is active, but it has not provided us with information.	01JUL2007							2023	29JUL2024	06-11-2001						
B38655858	SOLUCIONES DE CONTROL 2001			32	SL	Sociedad Limitada	Limited Company		CALLE	SANTA MARIA SOLEDAD TORRES ACOSTA	33	LA CUEST	38320	SAN CRISTOBAL DE LA LAGUNA	SANTA CRUZ DE TENERIFE	922662756		-16.292580500	28.466561000	1	3	6290	Other information technology and computer-related services	6290	Other information technology and computer-related services	6310	IT infrastructure, data processing, hosting and related activities	A. Los Servicios Informaticos De Cualquier Clase Y Naturaleza.										2024	22JUL2025	06-11-2001						
B38656351	EXPLOTACIONES MONTANARI			32	SL	Sociedad Limitada	Limited Company		PASEO	PUERTO DE LOS CRISTIANOS	4	LOS CRISTIANOS	38640	ARONA	SANTA CRUZ DE TENERIFE	922534140		-16.719781100	28.050149600	1		9329	Recreational and amusement activities n.e.c.	7721	Rental of leisure and sporting goods			Explotaciones Playa; Explotaciones Deportes Nauticos; Actividades Recreativas. La Organizacion Y Comercializacion De Excursiones Y Eventos Recreativos Y De Ocio, Visitas Guiadas, Excursiones Culturales Y Deportivas; La Promocion Y Venta De Excursiones On Line Y Off Line; El Alquiler Y Explotacion De Vehiculos Turisticos Sin Conductor, Incluidos Motos, Motocicletas, Quad, Motos.	02	We have confirmed that this firm is active, but it has not provided us with information.	17JUL2017							2023	17JUL2024	09-11-2001						
B38656401	ENRI Y CELE			32	SL	Sociedad Limitada	Limited Company		CALLE	MAUDES	58	2 IZ	28003	MADRID	MADRID			-3.696681100	40.444942400	1		4101	Construction of residential buildings					La Construccion, Adquisicion, Explotaciones, Arrendamiento De Toda Clase De Inmuebles Incluidos Edificios, Ya Se Destinen A Actividades Industriales, Comerciales. Ag Ricolas O Viviendas Y Esten O No Acogidas A Proteccion Oficial, En Cialquiler De Sus Categorias. -Cnae: 4122										2024	24JUL2025	08-11-2001						
B38656435	FERANGE CANARIAS			32	SL	Sociedad Limitada	Limited Company		AVDA	ASUNCIONISTAS	44	ESC B 6 A IZQUIERDA	38007	SANTA CRUZ DE TENERIFE	SANTA CRUZ DE TENERIFE			-16.262247000	28.466857000	3		6812	Real estate development					A) Dirigir, Realizar O Administrar La Inversion De Capitales Pertenecientes A Personas O Entidades Ajenas A La Compañia; .										2024	26NOV2025	25-10-2001						
